 0.   0.   0.   0.   0.   6.13 0.   0.   4.6  0.  
 0.   0.   0.   0.   0.   0.   2.06 0.   0.   0.  
 0.   0.   0.   0.   0.   0.   3.54 0.   0.   0.  
 0.   0.   0.   0.   0.   0.   0.   0.   0.   1.3 
 0.   0.   0.   0.   0.   0.   4.96 0.   0.   0.79
 6.13 0.   0.   0.   0.   0.   0.   9.35 0.   5.14
 0.   2.06 3.54 0.   4.96 0.   0.   0.   0.   0.  
 0.   0.   0.   0.   0.   9.35 0.   0.   0.   3.32
 4.6  0.   0.   0.   0.   0.   0.   0.   0.   0.  
 0.   0.   0.   1.3  0.79 5.14 0.   3.32 0.   0.  
