 0.   0.   6.28 0.   1.61 1.43 0.   0.   2.31 2.21
 0.   0.   0.   0.   0.   7.87 6.21 0.   0.   0.  
 6.28 0.   0.   0.   0.   0.   0.   0.   0.   0.  
 0.   0.   0.   0.   0.   0.   0.   8.24 0.   0.  
 1.61 0.   0.   0.   0.   9.46 0.   1.32 0.   0.  
 1.43 7.87 0.   0.   9.46 0.   0.   9.26 8.32 0.  
 0.   6.21 0.   0.   0.   0.   0.   0.   0.   0.  
 0.   0.   0.   8.24 1.32 9.26 0.   0.   0.   0.  
 2.31 0.   0.   0.   0.   8.32 0.   0.   0.   0.  
 2.21 0.   0.   0.   0.   0.   0.   0.   0.   0.  
